,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
9844,10327,48401,2,Southwest,FRANK,F2,1207,21156,White,Male,2019-09-09 10:53:00,1.0,0.68,512.499,0.0019512233194601354
9845,10328,48394,2,Southwest,FRANK,F2,1266,21156,White,Male,2019-09-09 10:44:00,1.0,0.68,512.499,0.0019512233194601354
9846,10329,48388,2,Southwest,FRANK,F2,2339,21156,White,Male,2019-09-09 11:15:00,1.0,0.68,512.499,0.0019512233194601354
9847,10330,48387,2,Southwest,FRANK,F2,537,21156,White,Male,2019-09-09 10:48:00,1.0,0.68,512.499,0.0019512233194601354
9848,10331,49011,1,North,JOHN,J1,1093,21288,Black or African American,Male,2019-09-26 07:37:00,1.0,0.07,52.757,0.018954830638588244
9849,10332,49003,1,North,JOHN,J1,1585,21288,Black or African American,Male,2019-09-26 09:33:00,1.0,0.07,52.757,0.018954830638588244
9850,10333,48948,1,South,OCEAN,O3,1002,21278,Black or African American,Female,2019-09-25 04:02:00,1.0,0.07,52.757,0.018954830638588244
9851,10334,48959,1,East,EDWARD,E3,2160,21278,Black or African American,Female,2019-09-25 07:46:00,1.0,0.07,52.757,0.018954830638588244
9852,10335,48977,1,South,OCEAN,O3,4834,21278,Black or African American,Female,2019-09-25 04:36:00,1.0,0.07,52.757,0.018954830638588244
9853,10336,48982,1,East,EDWARD,E3,4834,21278,Black or African American,Female,2019-09-25 07:46:00,1.0,0.07,52.757,0.018954830638588244
9854,10337,49257,1,East,EDWARD,E3,4762,21343,Black or African American,Female,2019-10-01 22:24:00,1.0,0.07,52.757,0.018954830638588244
9857,10340,49590,2,South,ROBERT,R2,4744,21431,White,Male,2019-10-09 10:47:00,1.0,0.68,512.499,0.0019512233194601354
9858,10341,49589,2,South,ROBERT,R2,4825,21431,White,Male,2019-10-09 10:50:00,1.0,0.68,512.499,0.0019512233194601354
9859,10342,49588,2,South,ROBERT,R2,1777,21431,White,Male,2019-10-09 10:51:00,1.0,0.68,512.499,0.0019512233194601354
9861,10344,49579,1,South,ROBERT,R2,2160,21431,White,Male,2019-10-09 10:51:00,1.0,0.68,512.499,0.0019512233194601354
9862,10345,48577,2,West,QUEEN,Q3,4761,21202,Black or African American,Male,2019-09-14 23:15:00,1.0,0.07,52.757,0.018954830638588244
9863,10346,48576,2,West,QUEEN,Q3,408,21202,Black or African American,Male,2019-09-14 22:42:00,1.0,0.07,52.757,0.018954830638588244
9864,10347,48033,2,West,DAVID,D1,2230,21060,Black or African American,Female,2019-08-28 18:33:00,1.0,0.07,52.757,0.018954830638588244
9865,10348,48034,2,West,DAVID,D1,2307,21060,Black or African American,Female,2019-08-28 18:24:00,1.0,0.07,52.757,0.018954830638588244
9866,10349,48035,2,West,DAVID,D1,2212,21060,Black or African American,Female,2019-08-28 18:24:00,1.0,0.07,52.757,0.018954830638588244
9867,10350,48010,2,West,DAVID,D3,408,21053,Black or African American,Male,2019-08-28 20:51:00,1.0,0.07,52.757,0.018954830638588244
